id,gestion,estudiante_id,unidad_educativa_id,curso_paralelo_origen,estado
1,2024,1,1,A,A
2,2024,2,1,A,A
3,2024,3,10,A,A
4,2024,4,1,A,A
5,2024,5,1,A,A
6,2024,6,1,A,A
7,2024,7,1,A,A
8,2024,8,1,A,A
9,2024,9,1,A,A
10,2024,10,1,A,A
11,2024,11,1,A,A
12,2024,12,13,A,A
13,2024,13,13,A,A
14,2024,14,13,A,A
15,2024,15,13,A,A
16,2024,16,13,A,A
17,2024,17,13,A,A
18,2024,18,13,A,A
19,2024,19,13,A,A
20,2024,20,13,A,A
21,2024,21,13,A,A
22,2024,22,20,A,A
23,2024,23,1,A,A
24,2024,24,1,A,A
25,2024,25,1,A,A
26,2024,26,1,A,A
27,2024,27,1,A,A
28,2024,28,1,A,A
29,2024,29,13,A,A
30,2024,30,13,A,A
31,2024,31,13,A,A
32,2024,32,13,A,A
33,2024,33,13,A,A
34,2024,34,13,A,A
35,2024,35,20,A,A
36,2024,36,25,A,A
37,2024,37,25,A,A
38,2024,38,25,A,A
39,2024,39,25,A,A
40,2024,40,25,A,A
41,2024,41,19,A,A
42,2024,42,25,A,A
43,2024,43,25,A,A
44,2024,44,25,A,A
45,2024,45,25,A,A
46,2024,46,25,A,A
47,2024,47,25,A,A
48,2024,48,1,B,A
49,2024,49,6,C,A
50,2024,50,6,B,A
51,2024,51,6,C,A
52,2024,52,13,C,A
53,2024,53,13,C,A
54,2024,54,13,C,A
55,2024,55,13,D,A
56,2024,56,13,C,A
57,2024,57,1,A,A
58,2024,58,1,A,A
59,2024,59,1,A,A
60,2024,60,21,B,A
61,2024,61,19,A,A
62,2024,62,20,B,A
63,2024,63,20,B,A
64,2024,64,20,B,A
65,2024,65,5,A,A
66,2024,66,5,A,A
67,2024,67,1,A,A
68,2024,68,7,A,A
69,2024,69,19,B,A
70,2024,70,21,A,A
71,2024,71,21,B,A
72,2024,72,6,A,A
73,2024,73,13,C,A
74,2024,74,6,B,A
75,2024,75,13,B,A
76,2024,76,19,A,A
77,2024,77,21,B,A
78,2024,78,13,B,A
79,2024,79,21,B,A
80,2024,80,6,B,A
81,2024,81,20,A,A
82,2024,82,1,B,A
83,2024,83,7,A,A
84,2024,84,1,A,A
85,2024,85,21,A,A
86,2024,86,21,B,A
87,2024,87,19,A,A
88,2024,88,1,A,A
89,2024,89,20,B,A
90,2024,90,6,B,A
91,2024,91,6,B,A
92,2024,92,6,C,A
93,2024,93,21,A,A
94,2024,94,6,B,A
95,2024,95,21,A,A
96,2024,96,13,A,A
97,2024,97,13,B,A
98,2024,98,19,B,A
99,2024,99,19,A,A
100,2024,100,21,A,A
101,2024,101,19,A,A
102,2024,102,11,A,A
103,2024,103,29,A,A
104,2024,104,6,A,A
105,2024,105,6,A,A
106,2024,106,6,C,A
107,2024,107,6,C,A
108,2024,108,6,C,A
109,2024,109,6,C,A
110,2024,110,6,C,A
111,2024,111,6,C,A
112,2024,112,6,A,A
113,2024,113,6,A,A
114,2024,114,13,B,A
115,2024,115,13,C,A
116,2024,116,13,C,A
117,2024,117,13,C,A
118,2024,118,13,C,A
119,2024,119,13,A,A
120,2024,120,13,C,A
121,2024,121,13,C,A
122,2024,122,13,C,A
123,2024,123,6,C,A
124,2024,124,6,B,A
125,2024,125,7,A,A
126,2024,126,5,A,A
127,2024,127,1,A,A
128,2024,128,20,B,A
129,2024,129,10,A,A
130,2024,130,6,B,A
131,2024,131,13,B,A
132,2024,132,13,C,A
133,2024,133,13,C,A
134,2024,134,13,C,A
135,2024,135,13,C,A
136,2024,136,13,C,A
137,2024,137,6,C,A
138,2024,138,6,A,A
139,2024,139,1,B,A
140,2024,140,10,A,A
141,2024,141,1,A,A
142,2024,142,6,A,A
143,2024,143,6,A,A
144,2024,144,6,B,A
145,2024,145,13,C,A
146,2024,146,6,C,A
147,2024,147,6,A,A
148,2024,148,20,B,A
149,2024,149,10,A,A
150,2024,150,10,A,A
151,2024,151,29,A,A
152,2024,152,19,A,A
153,2024,153,20,B,A
154,2024,154,6,C,A
155,2024,155,6,C,A
156,2024,156,6,C,A
157,2024,157,6,C,A
158,2024,158,6,A,A
159,2024,159,6,B,A
160,2024,160,19,A,A
161,2024,161,19,B,A
162,2024,162,11,A,A
163,2024,163,25,C,A
164,2024,164,5,A,A
165,2024,165,13,B,A
166,2024,166,21,A,A
167,2024,167,21,B,A
168,2024,168,7,A,A
169,2024,169,13,B,A
170,2024,170,20,B,A
171,2024,171,13,A,A
172,2024,172,13,B,A
173,2024,173,6,A,A
174,2024,174,6,A,A
175,2024,175,6,A,A
176,2024,176,6,A,A
177,2024,177,6,A,A
178,2024,178,6,A,A
179,2024,179,6,A,A
180,2024,180,6,A,A
181,2024,181,6,A,A
182,2024,182,6,A,A
183,2024,183,6,A,A
184,2024,184,6,B,A
185,2024,185,6,B,A
186,2024,186,6,B,A
187,2024,187,6,B,A
188,2024,188,6,B,A
189,2024,189,6,B,A
190,2024,190,6,A,A
191,2024,191,6,B,A
192,2024,192,6,B,A
193,2024,193,6,C,A
194,2024,194,6,C,A
195,2024,195,6,C,A
196,2024,196,6,C,A
197,2024,197,13,C,A
198,2024,198,6,C,A
199,2024,199,6,C,A
200,2024,200,13,C,A
201,2024,201,13,C,A
202,2024,202,13,A,A
203,2024,203,13,C,A
204,2024,204,13,A,A
205,2024,205,13,C,A
206,2024,206,13,C,A
207,2024,207,13,C,A
208,2024,208,13,C,A
209,2024,209,13,A,A
210,2024,210,13,B,A
211,2024,211,13,B,A
212,2024,212,13,A,A
213,2024,213,13,C,A
214,2024,214,13,A,A
215,2024,215,13,A,A
216,2024,216,13,A,A
217,2024,217,13,C,A
218,2024,218,13,A,A
219,2024,219,21,A,A
220,2024,220,19,C,A
221,2024,221,19,A,A
222,2024,222,13,A,A
223,2024,223,13,B,A
224,2024,224,21,B,A
225,2024,225,29,A,A
226,2024,226,21,B,A
227,2024,227,21,B,A
228,2024,228,6,A,A
229,2024,229,25,A,A
230,2024,230,21,A,A
231,2024,231,25,A,A
232,2024,232,21,A,A
233,2024,233,25,A,A
234,2024,234,21,A,A
235,2024,235,21,B,A
236,2024,236,21,A,A
237,2024,237,21,A,A
238,2024,238,21,B,A
239,2024,239,21,B,A
240,2024,240,21,B,A
241,2024,241,21,A,A
242,2024,242,21,A,A
243,2024,243,21,A,A
244,2024,244,21,B,A
245,2024,245,21,A,A
246,2024,246,20,B,A
247,2024,247,20,B,A
248,2024,248,1,Z,A
249,2024,249,20,B,A
250,2024,250,20,A,A
251,2024,251,20,B,A
252,2024,252,20,B,A
253,2024,253,1,A,A
254,2024,254,10,A,A
255,2024,255,10,A,A
256,2024,256,10,A,A
257,2024,257,10,A,A
258,2024,258,19,A,A
259,2024,259,19,B,A
260,2024,260,19,C,A
261,2024,261,19,B,A
262,2024,262,19,B,A
263,2024,263,19,B,A
264,2024,264,20,B,A
265,2024,265,20,B,A
266,2024,266,20,A,A
267,2024,267,20,A,A
268,2024,268,6,A,A
269,2024,269,6,A,A
270,2024,270,6,A,A
271,2024,271,6,A,A
272,2024,272,6,A,A
273,2024,273,19,B,A
274,2024,274,6,A,A
275,2024,275,6,A,A
276,2024,276,6,C,A
277,2024,277,6,C,A
278,2024,278,6,C,A
279,2024,279,6,C,A
280,2024,280,6,C,A
281,2024,281,6,B,A
282,2024,282,6,B,A
283,2024,283,6,B,A
284,2024,284,6,B,A
285,2024,285,6,A,A
286,2024,286,19,A,A
287,2024,287,6,A,A
288,2024,288,6,A,A
289,2024,289,6,A,A
290,2024,290,6,A,A
291,2024,291,6,B,A
292,2024,292,6,A,A
293,2024,293,6,B,A
294,2024,294,6,C,A
295,2024,295,6,A,A
296,2024,296,29,A,A
297,2024,297,6,C,A
298,2024,298,6,A,A
299,2024,299,6,A,A
300,2024,300,29,A,A
301,2024,301,6,C,A
302,2024,302,6,B,A
